Age,Gender,Sport,WatchTime,PreviousClicks,Device,AdCategory
51,M,Cricket,91,11,TV,Food
30,F,Cricket,71,17,Mobile,Travel
33,F,Football,89,12,Laptop,Travel
22,M,Football,89,7,Mobile,Travel
60,M,Cricket,180,1,Mobile,Food
36,F,Cricket,136,6,Mobile,Food
25,M,Cricket,174,0,Mobile,Sports
39,M,Football,99,20,Mobile,Travel
48,M,Cricket,133,17,TV,Food
59,F,Cricket,148,12,TV,Food
44,F,Football,19,6,Laptop,Travel
60,F,Cricket,18,6,TV,Food
43,F,Football,165,20,Laptop,Sports
30,M,Cricket,107,16,Mobile,Sports
43,M,Football,180,16,Mobile,Sports
41,M,Cricket,48,12,Mobile,Food
54,F,Cricket,98,0,Mobile,Food
20,M,Cricket,23,7,Mobile,Travel
59,M,Cricket,9,15,Mobile,Food
40,M,Cricket,94,4,Laptop,Food
45,M,Cricket,102,5,TV,Food
44,M,Football,92,2,Mobile,Travel
21,M,Cricket,20,1,Laptop,Travel
24,F,Cricket,157,12,Laptop,Gaming
31,M,Cricket,17,8,Mobile,Food
30,F,Football,143,20,Mobile,Sports
23,M,Football,71,6,Laptop,Travel
41,M,Cricket,168,15,TV,Food
29,M,Cricket,43,0,TV,Travel
28,F,Football,36,8,Mobile,Travel
19,F,Cricket,110,1,Mobile,Sports
51,F,Cricket,10,16,Laptop,Food
57,M,Cricket,27,11,Mobile,Food
30,F,Cricket,10,7,TV,Travel
37,F,Cricket,109,15,Laptop,Food
18,F,Football,65,2,Mobile,Travel
37,M,Cricket,56,1,Mobile,Food
43,F,Football,134,12,Mobile,Sports
40,M,Football,71,5,Laptop,Travel
26,M,Football,114,6,Laptop,Sports
28,F,Football,159,6,Mobile,Sports
44,M,Cricket,96,5,TV,Food
25,F,Cricket,17,7,Laptop,Travel
51,M,Cricket,47,9,TV,Food
34,M,Football,173,1,Mobile,Sports
36,M,Cricket,96,20,Mobile,Food
21,M,Football,162,8,Laptop,Sports
43,F,Cricket,24,18,Mobile,Food
19,M,Cricket,75,5,TV,Travel
42,F,Football,128,16,Mobile,Sports
35,F,Cricket,62,3,Laptop,Food
60,M,Football,76,3,Laptop,Travel
36,M,Cricket,140,4,Mobile,Food
24,M,Cricket,64,12,Laptop,Gaming
30,F,Football,104,6,Laptop,Sports
34,M,Football,130,15,Mobile,Sports
18,M,Football,123,0,Mobile,Sports
27,M,Cricket,79,4,Laptop,Travel
54,F,Cricket,25,8,Mobile,Food
32,F,Cricket,164,8,Laptop,Food
60,F,Football,79,3,TV,Travel
49,F,Cricket,131,2,TV,Food
26,F,Cricket,53,15,Laptop,Travel
51,F,Cricket,30,20,Mobile,Food
39,M,Cricket,29,18,Laptop,Food
57,F,Football,13,16,TV,Travel
58,M,Football,145,0,Mobile,Sports
53,M,Cricket,57,14,Mobile,Food
18,M,Cricket,69,15,Laptop,Gaming
41,F,Football,167,17,TV,Sports
19,F,Cricket,117,6,TV,Sports
60,M,Cricket,15,12,Laptop,Food
53,M,Cricket,66,5,Laptop,Food
49,F,Cricket,32,18,Laptop,Food
22,F,Football,177,14,Laptop,Gaming
32,M,Football,79,8,TV,Travel
30,F,Cricket,75,7,TV,Travel
22,F,Cricket,168,6,Mobile,Sports
34,F,Football,79,15,TV,Travel
39,F,Cricket,69,20,Mobile,Food
36,F,Football,65,9,Mobile,Travel
32,F,Football,111,6,Laptop,Sports
22,F,Cricket,38,19,Laptop,Gaming
58,F,Football,105,19,Mobile,Sports
59,F,Football,122,18,TV,Sports
35,F,Cricket,20,10,Laptop,Food
40,F,Cricket,93,7,TV,Food
57,M,Football,45,10,TV,Travel
22,M,Football,143,19,TV,Gaming
23,F,Football,99,1,Laptop,Travel
52,F,Football,19,9,Laptop,Travel
51,F,Cricket,39,17,TV,Food
31,F,Cricket,73,20,TV,Food
50,M,Football,133,10,Mobile,Sports
36,M,Football,114,19,Laptop,Sports
50,M,Football,112,16,Laptop,Sports
35,F,Cricket,51,12,Mobile,Food
32,M,Cricket,106,2,TV,Food
47,M,Football,143,12,Mobile,Sports
31,F,Cricket,65,11,Laptop,Food
60,M,Cricket,30,16,Laptop,Food
54,M,Cricket,87,3,Laptop,Food
39,F,Football,168,13,Laptop,Sports
43,M,Football,164,0,TV,Sports
31,M,Cricket,131,9,Mobile,Food
43,M,Cricket,112,1,TV,Food
46,M,Football,33,7,Mobile,Travel
58,F,Football,18,4,Laptop,Travel
46,F,Football,179,6,Laptop,Sports
50,M,Cricket,109,9,Mobile,Food
25,M,Football,136,3,Mobile,Sports
31,F,Football,170,19,Mobile,Sports
36,M,Football,141,6,Mobile,Sports
43,M,Cricket,107,20,TV,Food
50,F,Cricket,50,20,Mobile,Food
18,M,Football,51,17,TV,Gaming
46,M,Football,135,13,Laptop,Sports
22,F,Football,66,13,Mobile,Gaming
30,F,Cricket,100,6,TV,Travel
27,F,Football,20,17,Mobile,Travel
28,F,Football,61,16,Mobile,Travel
35,F,Football,86,12,Mobile,Travel
